kd_lpse,kd_agency,kd_lelang,nama_lpse,nama_agency,kd_paket,nama_paket,nama_panitia,hasil_lelang,nama_pemenang,npwp_pemenang,hps,tgl_pengumuman,nama_satker,nilai_kontrak,tanggal_kontrak,tanggal_akhir_lelang,sumber_dana,tahun_anggaran,kategori,kd_satker,pagu,kd_pemenang,kd_kabupaten,nama_kabupaten,nama_propinsi
252,25999,2291252,LPSE Kementerian Hukum dan HAM RI,KANWIL JAWA TENGAH,2138252,Pengadaan Bahan Makanan Napi/Tahanan Lapas Kendal TA. 2014,Pengadaan Bahan Makanan Napi/Tahanan Lapas Kendal TA. 2014,616355000,"","",588747495,2013-12-02,Lembaga Pemasyarakatan Kendal,"","",2014-01-02,APBN,2014,Pengadaan Barang,409252,636377000,"",14752,Jakarta Selatan (Kota),DKI Jakarta
252,25999,2311252,LPSE Kementerian Hukum dan HAM RI,KANWIL JAWA TENGAH,2159252,Pengadaan Bahan Makanan Napi/Tahanan Rutan Wonogiri TA. 2014,Pengadaan Bahan Makanan Napi/Tahanan Rutan Wonogiri TA. 2014,654965250,"","",664560247,2013-12-03,Rutan Wonogiri,"","",2013-12-27,APBN,2014,Pengadaan Barang,428252,665303000,"",14752,Jakarta Selatan (Kota),DKI Jakarta
29,26029,2258029,LPSE Universitas Diponegoro,RSUP DR. Kariadi Semarang,2070029,Pengadaan Pemeliharaan Sanitasi Berupa Pengangkutan Sampah Tahun 2014 di RSUP Dr. Kariadi Semarang,Pokja Pemeliharaan/Perbaikan,221760000,CV. EKA PERKASA,01.765.105.0-517.000,229020000,2013-12-05,RSUP DR. Kariadi Semarang,"","",2014-01-01,BLU,2014,"Jasa Lainnya",47029,229020000,1475029,14807,Semarang (Kab.),Jawa Tengah
44,137044,1814044,LPSE Kepolisian Republik Indonesia,POLDA SULTENG,1714044,PENGADAAN KAPOR POLRI POLDA SULTENG TA. 2014,PENGADAAN KAPOR POLRI POLDA SULTENG TA. 2014,1864941100,"","",1879060975,2013-12-24,BIRO SARPRAS POLDA SULTENG,"","",2014-01-16,APBN,2014,Pengadaan Barang,240044,1879060975,"",14749,Jakarta Timur (Kota),DKI Jakarta
10,2010,1951010,LPSE Kota Surabaya,LPSE Kota Surabaya,1500010,Pembangunan Gedung Type B (SMA Negeri 10),POKJA_I_KKJ,493056000,CV.ALFASINDO PRATAMA,02.170.140.4-609.000,599760000,2013-12-09,Dinas Cipta Karya dan Tata Ruang,"","",2014-01-22,APBD,2014,"Pekerjaan Konstruksi",29010,600000045,1448010,14843,Bangkalan (Kab.),Jawa Timur
323,2323,302323,LPSE Kementerian Sosial,LPSE Pusat Kementerian Sosial,333323,"Pengadaan Barang/Bahan Cetakan Braille untuk Pembuatan Buku Bagi Orang Dengan Kecacatan di Balai Penerbitan Braille Indonesia (BPBI) ""Abiyoso"" Tahun Anggaran 2014","Balai Penerbitan Braille Indonesia (BPBI) ""ABIYOSO""",1041766000,"","",1091379000,2013-12-24,Balai Penerbitan Braille Indonesia Abiyoso,"","",2014-01-31,APBN,2013,Pengadaan Barang,35323,1091379000,"",14748,Jakarta Pusat (Kota),DKI Jakarta
615,2615,215615,LPSE Kabupaten Sijunjung,PDAM KABUPATEN SIJUNJUNG,175615,Pengadaan pipa dan Accessories untuk Jaringan Pipa Distribusi/Tertier,Keg penyediaan SPAM bg masy berpenghasilan rendah (MBR) bantuan Aus-AID 2013,479552000,"","",532838000,2013-12-02,PDAM KAB. SIJUNJUNG,"","",2014-01-03,Pinjaman/Hibah Luar Negeri,2013,Pengadaan Barang,31615,550102000,"",14686,Sawahlunto/Sijunjung (Kab.),Sumatera Barat
113,1113,1894113,LPSE Kabupaten Badung,LPSE Badung,1333113,Penyediaan Jasa Keamanan Kantor RSUD Kabupaten Badung APBD Tahun Anggaran 2014,ULP RSUD Badung,1565344000,PT. Kuningan Mas Jakarta 777,02.602.382.0-908.000,1569584000,2013-12-21,RSUD,"","",2014-01-23,APBD,2014,"Jasa Lainnya",10113,1591380000,703113,14974,Badung (Kab.),Bali
34,1034,2395034,LPSE Kota Depok,Kota Depok,2074034,Pembangunan Gedung Kantor Dinas Perhubungan,Panitia Pengadaan Bidang Permukiman dan Tata Bangunan,9243755000,PT. Hagitasinar Lestarimegah,01.608.998.9-001.000,9669108000,2013-12-23,Dinas Tata Ruang dan Permukiman,"","",2014-02-21,APBD,2014,"Pekerjaan Konstruksi",8034,9669484650,604034,14776,Depok (Kota),Jawa Barat
95,1095,77095,LPSE Mahkamah Konstitusi,Mahkamah Konstitusi,69095,"Pengadaan  Pekerjaan  Pengelolaan  Gedung Kantor, Rumah Negara dan Pusat Pendidikan Pancasila & Konstitusi Mahkamah Konstitusi RI TA 2014",Panitia Pokja Biro Umum MKRI,16541557225,PP DIRGANEKA,01.347.368.1-007.000,17001467482,2013-12-02,Mahkamah Konstitusi,"","",2014-01-01,APBN,2014,"Jasa Lainnya",1095,17043564854,64095,14748,Jakarta Pusat (Kota),DKI Jakarta
114,3999,8589114,LPSE Kementerian Perhubungan,Ditjen Phb Laut,7588114,"Pekerjaan Subsidi Pengoperasian Angkutan Laut Perintis Pangkalan Tahuna Kode Trayek R-26 Tahun Anggaran 2014",PANITIA JASA SUBSIDI ANGKUTAN LAUT PERINTIS (2 TRAYEK) PANGKALAN TAHUNA,5305640000,EPA KARUNIA LINES,01.574.820.5-823.000,5309180500,2013-12-20,Unit Penyelenggara Pelabuhan Kelas II Tahuna,"","",2014-01-31,APBN,2014,"Jasa Lainnya",52114,5309199125,1388114,14748,Jakarta Pusat (Kota),DKI Jakarta
252,25999,2537252,LPSE Kementerian Hukum dan HAM RI,KANWIL JAWA TENGAH,2036252,Pengadaan Bahan Makanan Napi/Tahanan Lapas Tegal TA. 2014,Pengadaan Bahan Makanan Napi/Tahanan Lapas Tegal TA. 2014,536626000,"","",578070000,2013-12-10,Lembaga Pemasyarakatan Tegal,"","",2013-12-31,APBN,2014,Pengadaan Barang,392252,578525000,"",14752,Jakarta Selatan (Kota),DKI Jakarta
335,2335,320335,LPSE Kabupaten Wajo,LPSE KABUPATEN WAJO,272335,"PAKET 41/PERENCANAAN TEKNIS PENINGKATAN JALAN HOTMIX DAN LAPEN",Kelompok Kerja Pengadaan Pekerjaan Jasa Konsultan III,77777000,CV. EXISTING ENGINEERING,02.997.149.6-808.000,78000000,2013-12-21,Dinas Pekerjaan Umum Kabupaten Wajo,"","",2014-01-25,APBD,2013,"Jasa Konsultansi",1335,78000000,207335,14940,Wajo (Kab.),Sulawesi Selatan
335,2335,313335,LPSE Kabupaten Wajo,LPSE KABUPATEN WAJO,288335,"Pembangunan Jembatan Lompoe Desa Awo Kec. Keera",Kelompok Kerja Pengadaan Pekerjaan Konstruksi Grup IV,6665437000,PT.Adhe Karya Persada,02.854.823.8-808.000,6700000000,2013-12-09,Dinas Pekerjaan Umum Kabupaten Wajo,"","",2014-01-07,APBD,2013,"Pekerjaan Konstruksi",1335,6700000000,46335,14940,Wajo (Kab.),Sulawesi Selatan
472,1472,220472,LPSE Kabupaten Bondowoso,Pemda Bondowoso,215472,Pengadaan Baliho dan Spanduk untuk Sosialisasi Pemilu 2014,Panitia Pengadaan Barang Jasa KPU Kab Bondowoso,603900000,"","",604642500,2013-12-06,KPU Kabupaten Bondowoso,"","",2013-12-20,APBN,2013,Pengadaan Barang,27472,737500000,"",14837,Bondowoso (Kab.),Jawa Timur
11,522011,11225011,LPSE Kementerian Keuangan,Sekretariat Jenderal Kementerian Keuangan,9866011,Pengadaan Jasa Sewa Mesin Fotokopi Sekretariat Jenderal Kementerian Keuangan Tahun Anggaran 2014,Unit Layanan Pengadaan Setjen Pokja III,2077812000,PT. AVANT SOLUSI SERVISPRO,21.094.471.6-435.000,2161995000,2013-12-10,Sekretariat Jenderal Kementerian Keuangan,"","",2013-12-31,APBN,2014,"Jasa Lainnya",44011,2161995000,4571011,14748,Jakarta Pusat (Kota),DKI Jakarta
218,6218,1753218,LPSE Kementerian Kelautan dan Perikanan,BPSDMKP,1724218,Pengadaan Bahan Makan Taruna Akademi Perikanan Sidoarjo Tahun 2014 (Lelang Ulang),Pokja Akademi Perikanan Sidoarjo,1916388000,"","",2250065990,2013-12-28,Akademi Perikanan Sidoarjo,"","",2014-01-20,APBN,2013,Pengadaan Barang,164218,2250324000,"",14748,Jakarta Pusat (Kota),DKI Jakarta
35,6035,5797035,LPSE Provinsi Kalimantan Timur,Agency Sekretariat DPRD Prov Kaltim,5183035,Pengadaan Penyebarluasan Informasi Kegiatan DPRD Prov. Kaltim (Paket 1),Pokja ULP Sekretariat DPRD Prov. Kaltim Tahun Anggaran 2014,2489982000,PT.DUTA MANUNTUNG,01.460.322.9-725.000,2490000000,2013-12-13,Sekretariat DPRD Prov Kaltim,"","",2014-01-06,APBD,2014,Pengadaan Barang,8035,2500000000,1387035,14902,Balikpapan (Kota),Kalimantan Timur
252,23999,2359252,LPSE Kementerian Hukum dan HAM RI,KANWIL BANTEN,2206252,Pengadaan Bahan Makanan Tahanan/Napi Rumah Tahanan Negara Klas IIB Rangkasbitung,Panitia Pengadaan Bahan Makanan Rutan Klas IIB Rangkasbitung,585116000,"","",619325695,2013-12-05,Rutan Klas IIB Rangkasbitung,"","",2013-12-31,APBN,2014,Pengadaan Barang,423252,619332000,"",14752,Jakarta Selatan (Kota),DKI Jakarta
252,31999,2697252,LPSE Kementerian Hukum dan HAM RI,KANWIL KALIMANTAN TIMUR,2272252,PENGAWASAN LANJUTAN PEMBANGUNAN LAPAS NARKOTIKA SAMARINDA,Panitia Pengadaan Lanjutan Pembangunan Lapas Narkotika Samarinda TA.2013,145035000,"","",148940000,2013-12-30,Lembaga Pemasyarakatan Narkotika Samarinda,"","",2014-01-29,APBN,2013,"Jasa Konsultansi",664252,150000000,"",14752,Jakarta Selatan (Kota),DKI Jakarta
44,43044,1820044,LPSE Kepolisian Republik Indonesia,SETUKPA LEMDIKPOL,1710044,Pengadaan jasa boga makan jaga kawal/piket Setukpa Lemdikpol T.A. 2014,DUKUNGAN MANAJEMEN DAN TEKNIS PEGEMBANGAN DIKLAT POLRI,228417000,"","",229950000,2013-12-31,SETUKPA LEMDIKPOL,"","",2014-01-27,APBN,2014,"Jasa Lainnya",39044,229950000,"",14749,Jakarta Timur (Kota),DKI Jakarta
252,33999,2587252,LPSE Kementerian Hukum dan HAM RI,KANWIL SULAWESI TENGAH,2411252,"Pengadaan Bahan Makanan Napi/Tahanan, 1 (Satu) Paket Pada Lembaga Pemasyarakatan Kelas IIB Toli-Toli",PENGADAAN BAMA NAPI/TAHANAN PADA LP TOLI TOLI TA.2014,523851000,CV. ADB.FRONT 2000,02.247.343.3-831.000,525600000,2013-12-13,Lembaga Pemasyarakatan Klas IIB Toli-Toli,"","",2013-12-31,APBN,2014,Pengadaan Barang,517252,525600000,1250252,14752,Jakarta Selatan (Kota),DKI Jakarta
252,33999,2597252,LPSE Kementerian Hukum dan HAM RI,KANWIL SULAWESI TENGAH,2415252,"PENGADAAN BAHAN MAKANAN NAPI/TAHANAN, 1 (SATU) PAKET PADA LEMBAGA PEMASYARAKATAN KLAS IIA PALU",PENGADAAN BAMA NAPI/TAHANAN PADA LP PALU TA.2014,1340974000,CV. SAWE MASSE,01.142.875.2-831.000,1345813000,2013-12-13,lembaga Pemasyarakatan Klas IIA palu,"","",2013-12-31,APBN,2014,Pengadaan Barang,347252,1346850000,241252,14752,Jakarta Selatan (Kota),DKI Jakarta
29,29029,2263029,LPSE Universitas Diponegoro,RS Ortopedi Prof. Dr. R. Soeharso,2088029,Belanja Biaya Pemeliharaan Gedung dan Bangunan Berupa Biaya Cleaning Service Halaman dan Taman Bulan Januari Sampai Dengan Agustus 2014,Pokja Non Medis,463008000,CV. OVISTA,02.025.109.6-517.000,496176000,2013-12-07,RS Ortopedi Prof. DR. R. Soeharso Surakarta,"","",2013-12-31,APBN,2014,"Jasa Lainnya",55029,501600000,1879029,14807,Semarang (Kab.),Jawa Tengah
110,6110,605110,LPSE Kabupaten Ketapang,Pemerintah Kabupaten Ketapang,647110,PENGADAAN BANTUAN PANGAN NON BERAS LANJUTAN 1.060 Pkt UNTUK WARGA TRANSMIGRAN ( T+3 ),panitia barang/jasa nakertran 2013,685555000,CV. PUTRA SULUNG,02.260.578.6-703.000,689000000,2013-12-13,Dinas Sosial Tenaga Kerja dan Transmigrasi,"","",2014-01-07,APBN,2014,Pengadaan Barang,5110,689000000,522110,14866,Ketapang (Kab.),Kalimantan Barat
170,18170,3769170,LPSE Kementerian Agama,IAIN Sultan Maulana Hasanuddin Banten,3598170,"Pengadaan Jasa Cleaning Service IAIN ""SMH"" Banten",PENGADAAN JASA CLEANING SERVICE TAHUN ANGGARAN 2014,968582881,"","",1071876000,2013-12-17,"IAIN ""SMH"" Banten","","",2014-01-24,APBN,2014,"Jasa Lainnya",17170,1080000000,"",14748,Jakarta Pusat (Kota),DKI Jakarta
11,537011,11284011,LPSE Kementerian Keuangan,Sekretariat Dewan Pertimbangan Presiden,9922011,Pekerjaan Pemeliharaan Halaman dan Taman,Panitia Pekerjaan Pemeliharaan Halaman dan Taman,294312000,PT. HASTAMURTI YOGATAMA,01.958.161.0-407.000,333312000,2013-12-16,Sekretariat Dewan Pertimbangan Presiden,"","",2013-12-31,APBN,2014,"Jasa Lainnya",332011,333312000,17658011,14748,Jakarta Pusat (Kota),DKI Jakarta
252,17999,2519252,LPSE Kementerian Hukum dan HAM RI,KANWIL SUMATERA SELATAN,2359252,Pekerjaan Jasa Konsultansi Perencanaan Pembangunan Lanjutan Lapas Klas III Kayu Agung Tahun Anggaran 2014,PEKERJAAN KONTRUKSI PEMBANGUNAN LANJUTAN LAPAS KLAS III KAYU AGUNG,309897000,"","",322745000,2013-12-09,Lapas Klas III Kayu Agung,"","",2014-01-31,APBN,2014,"Jasa Konsultansi",879252,322745000,"",14752,Jakarta Selatan (Kota),DKI Jakarta
252,39999,2536252,LPSE Kementerian Hukum dan HAM RI,KANWIL NUSA TENGGARA BARAT,2369252,PENGADAAN BAHAN MAKANAN NARAPIDANA/TAHANAN PADA LEMBAGA PEMASYARAKATAN KLAS IIA MATARAM,PENGADAAN BAHAN MAKANAN NARAPIDANA/TAHANAN LAPAS KLAS IIA MATARAM TAHUN 2014,1988662455,"","",1979065440,2013-12-10,Lembaga Pemasyarakatan Mataram,"","",2013-12-31,APBN,2013,Pengadaan Barang,634252,2010420000,"",14752,Jakarta Selatan (Kota),DKI Jakarta
11,530011,11326011,LPSE Kementerian Keuangan,LPSE Kementerian Keuangan Banten,9956011,Pengadaan Bilik Suara Pemilu Tahun 2014 pada KPU Provinsi Banten,Panitia PBJ Pemilu Tahun 2014 Pada Sekretariat KPU Provinsi Banten,1175438550,CV.TAMAN AKSARA JAYA,01.337.633.0-008.000,1222017000,2013-12-18,KPU Provinsi Banten,"","",2013-12-27,APBN,2013,Pengadaan Barang,1438011,1700333000,3126011,14748,Jakarta Pusat (Kota),DKI Jakarta
193,1193,156193,LPSE Kota Bandar Lampung,LPSE Kota Bandar Lampung,148193,Pemasangan Lampu Cabang Dua Jl. Pramuka,PPBJ DINAS KEBERSIHAN DAN PERTAMANAN,2146547000,"","",2184699000,2013-12-13,Dinas Kebersihan dan Pertamanan Kota Bandar Lampung,"","",2014-01-24,APBD,2014,"Pekerjaan Konstruksi",8193,2185000000,"",14744,Bandar Lampung (Kota),Lampung
329,1329,311329,LPSE Kota Bitung,LPSE Kota Bitung,286329,Pembangunan Jalan Kecamatan Ranowulu,Dinas Pekerjaan Umum Kota Bitung TA.2014 (Bid.Bina Marga),292500000,CV. BINTANG TERANG,02.000.611.0-823.000,298740000,2013-12-18,Dinas Pekerjaan Umum Kota Bitung,"","",2014-01-20,APBD,2014,"Pekerjaan Konstruksi",7329,300000000,83329,14913,Bitung (Kota),Sulawesi Utara
47,5047,6640047,LPSE Kementerian Kesehatan,DIREKTORAT JENDERAL BINA UPAYA KESEHATAN,5657047,Pengadaan Outsourcing Runner di Unit Rawat Jalan Terpadu RSCM Periode 1 Januari s.d 31 Desember 2014,POKJA ULP RSUPN DR. CIPTO MANGUNKUSUMO,1363055936,"","",1462380480,2013-12-04,RSUPN Dr. Cipto Mangunkusumo Jakarta,"","",2013-12-31,BLU,2014,"Jasa Lainnya",109047,1462380480,"",14748,Jakarta Pusat (Kota),DKI Jakarta
252,25999,2343252,LPSE Kementerian Hukum dan HAM RI,KANWIL JAWA TENGAH,2000252,Pengadaan Bahan Makanan Napi/Tahanan Rutan Wonosobo TA. 2014,Pengadaan Bahan Makanan Napi/Tahanan Rutan Wonosobo TA. 2014,375054165,"","",390499520,2013-12-05,Rutan Wonosobo,"","",2013-12-31,APBN,2014,Pengadaan Barang,385252,390504000,"",14752,Jakarta Selatan (Kota),DKI Jakarta
13,499013,2321013,LPSE Provinsi Daerah Istimewa Yogyakarta,Pemerintah Daerah Daerah Istimewa Yogyakarta,2103013,Penyediaan Jasa Jaminan Barang Milik Daerah Dalam Rangka Penjaminan Penutupan Jaminan Asuransi Bangunan/Gedung Kantor Beserta Kelengkapannya,Pengadaan Penyediaan Jasa Jaminan Barang Milik Daerah Kendaraan Roda 4 dan 6,133885033,"","",250000000,2013-12-06,"Dinas Pendapatan, Pengelolaan Keuangan dan Aset","","",2013-12-24,APBD,2013,"Jasa Lainnya",16013,250000000,"",14815,Yogyakarta (Kota),DI Yogyakarta
114,7999,8414114,LPSE Kementerian Perhubungan,Ditjen Phb Udara,7451114,Jasa Subsidi Angkutan Udara Perintis 6 (enam) rute pada Bandar Udara Rembele-Takengon (Lelang Tidak Mengikat),PANITIA JASA SUBSIDI ANGKUTAN UDARA PERINTIS BANDARA REMBELE TAKENGON,16803855200,"","",16975923000,2013-12-05,BANDAR UDARA REMBELE - TAKENGON,"","",2013-12-31,APBN,2014,"Jasa Lainnya",299114,17168809000,"",14748,Jakarta Pusat (Kota),DKI Jakarta
252,13999,2693252,LPSE Kementerian Hukum dan HAM RI,KANWIL SUMATERA UTARA,2486252,PENGADAAN BAHAN MAKANAN NARAPIDANA DAN TAHANAN LAPAS KLS II-B GUNUNG SITOLI,PENGADAAN BAHAN MAKANAN NARAPIDANA DAN TAHANAN LAPAS GUNUNG SITOLI,1253448416,"","",1256660479,2013-12-24,LEMBAGA PEMASYARAKATAN KLAS IIB G. SITOLI,"","",2014-01-15,APBN,2013,Pengadaan Barang,796252,1373312000,"",14752,Jakarta Selatan (Kota),DKI Jakarta
252,27999,2458252,LPSE Kementerian Hukum dan HAM RI,KANWIL JAWA TIMUR,2303252,Pengadaan Bahan Makanan Narapidana/tahanan Rumah Tahanan Negara Bangkalan TA.2014 ( lelang ini dilaksanakan mendahului DIPA ),Pengadaan Bahan Makanan Napi/Tahanan Tahun 2014 Rutan Bangkalan,561599375,"","",572248598,2013-12-09,Rumah Tahanan Negara Klas IIB Bangkalan,"","",2013-12-31,APBN,2014,Pengadaan Barang,210252,572320000,"",14752,Jakarta Selatan (Kota),DKI Jakarta
291,84291,2239291,LPSE Kementerian Kehutanan,Sub Agency BPDAS Saddang Makale,1986291,Pembuatan tanaman reboisasi pengkayaan Hutan Lindung Paket Luwu Utara II,Panitia Pengadaan Jasa Konst. Pemb. Tan. Reb Pengk HL di Kab Luwu Utara Thn 2013,2710583700,"","",2720366000,2013-12-13,BALAI PENGELOLAAN DAS SADDANG,"","",2014-01-09,APBN,2014,"Pekerjaan Konstruksi",236291,3486500000,"",14748,Jakarta Pusat (Kota),DKI Jakarta
252,16999,2662252,LPSE Kementerian Hukum dan HAM RI,KANTOR WILAYAH KEPULAUAN RIAU,1970252,Manajemen Konstruksi Pembangunan Rutan Batam T.A 2014,Pokja Manajemen Konstruksi Pembangunan Rutan Batam T.A 2014,502040000,"","",529622000,2013-12-19,Kantor Wilayah Kepulauan Riau,"","",2014-01-30,APBN,2014,"Jasa Konsultansi",71999,607007000,"",14752,Jakarta Selatan (Kota),DKI Jakarta
340,1340,306340,LPSE Kabupaten Bangka Barat,LPSE Bangka Barat,184340,Pengadaan Alat Laboratorium Sekolah Menengah Pertama,Pokja I,571059500,CV.GARDA MANDIRI,03.093.162.0-315.000,571560000,2013-12-02,"Dinas Pendidikan, Pemuda dan Olahraga","","",2013-12-18,APBD,2013,Pengadaan Barang,5340,572000000,61340,15056,Bangka Barat (Kab.),Kep. Bangka Belitung
95,1095,82095,LPSE Mahkamah Konstitusi,Mahkamah Konstitusi,71095,Pengadaan Sewa Kendaraan Operasional Persidangan Mahkamah Konstitusi Tahun Anggaran 2014,Panitia Pokja Biro Humas MKRI,2772000000,CV. Ramzy Putra Pratama,02.541.137.2-044.000,2775892800,2013-12-13,Mahkamah Konstitusi,"","",2014-01-01,APBN,2013,Pengadaan Barang,1095,2775892800,331095,14748,Jakarta Pusat (Kota),DKI Jakarta
283,11283,578283,LPSE Kabupaten Rokan Hulu,ULP Kabupaten Rokan Hulu,472283,PENGADAAN KABEL LISTRIK DAN KABEL GENSET ( APBD-P ),POKJA 5,475420000,cv.mandiri jaya,03.046.525.6-221.000,479054000,2013-12-08,Dinas Pertambangan dan Energi,"","",2013-12-24,APBD,2013,Pengadaan Barang,9283,480000000,103283,14697,Rokan Hulu (Kab.),Riau
10,2010,1923010,LPSE Kota Surabaya,LPSE Kota Surabaya,1462010,Pengadaan Rambu Lalu Lintas (75 cm),POKJA_IV_BJ,568392000,CV. Mekar Hadi Suryo,02.256.806.7-607.000,728709610,2013-12-09,Dinas Perhubungan,"","",2014-01-13,APBD,2014,Pengadaan Barang,34010,735613133,1292010,14843,Bangkalan (Kab.),Jawa Timur
114,6999,8694114,LPSE Kementerian Perhubungan,Ditjen Phb Darat,7494114,Pengadaan dan Pemasangan Perlengkapan Jalan Segmen H (Lelang Tidak Mengikat),PANITIA PENGADAAN BARJAS SATKER PLLAJ SULBAR TA 2014,2437953200,"","",2451505000,2013-12-29,PENGEMBANGAN LLAJ SULAWESI BARAT,"","",2014-01-31,APBN,2014,Pengadaan Barang,297114,2451505000,"",14748,Jakarta Pusat (Kota),DKI Jakarta
252,12999,2626252,LPSE Kementerian Hukum dan HAM RI,KANWIL NANGGROE ACEH DARUSSALAM,2438252,Pengadaan Bahan Makanan Narapidana dan  Tahanan Pada Lembaga Pemasyarakatan Klas II-B Langsa Tahun Anggaran 2014,POKJA BAMA NAPI DAN TAHANAN LAPAS KELAS IIB LANGSA TAHUN ANGGARAN 2014,1358710000,"","",1376809000,2013-12-16,LAPAS KLAS IIB LANGSA,"","",2014-01-01,APBN,2014,Pengadaan Barang,258252,1376809000,"",14752,Jakarta Selatan (Kota),DKI Jakarta
323,2323,294323,LPSE Kementerian Sosial,LPSE Pusat Kementerian Sosial,322323,Pengadaan Bahan Makanan Penerima Manfaat Netra Panti Sosial Bina Netra Mahatmiya Bali,Panti Sosial Bina Netra Mahatmiya Tabanan Bali,527345000,"","",535080000,2013-12-11,"Panti Sosial Bina Netra "" MAHATMIYA"" Bali","","",2014-01-03,APBN,2014,Pengadaan Barang,45323,535080000,"",14748,Jakarta Pusat (Kota),DKI Jakarta
47,5047,6639047,LPSE Kementerian Kesehatan,DIREKTORAT JENDERAL BINA UPAYA KESEHATAN,5670047,Pengadaan Bahan Makanan Basah Golongan I Triwulan I Tahun 2014,POKJA BELANJA OPERASIONAL ILP RS KANKER DHARMAIS TA 2012,369645000,CV. CEMPAKA LESTARI,01.643.816.0-004.000,433888500,2013-12-04,"Rumah Sakit Kanker ""Dharmais""","","",2013-12-27,BLU,2014,Pengadaan Barang,137047,433888500,7262047,14748,Jakarta Pusat (Kota),DKI Jakarta
25,2025,2847025,LPSE Kementerian Pendidikan dan Kebudayaan,Badan Tenaga Nuklir Nasional,2633025,Pengadaan Makanan dan Minuman Penambah Daya Tahan Tubuh Tahun 2014 (Extra Fooding),Panitia Pengadaan Makanan dan Minuman Penambah Daya Tahan Tubuh 2014,377496000,CV. KHARISMA ABADI,02.664.610.9-432.000,383229000,2013-12-16,Pusat Teknologi Keselamatan dan Metrologi Radiasi (PTKMR),"","",2014-01-29,APBN,2013,Pengadaan Barang,73025,384800000,2390025,14748,Jakarta Pusat (Kota),DKI Jakarta
252,24999,2244252,LPSE Kementerian Hukum dan HAM RI,KANWIL JAWA BARAT,2090252,Pengadaan Bahan Makanan bagi Warga Binaan LAPAS Majalengka Tahun 2014,Panitia Pengadaan Bahan Makanan Narapidana/Tahanan LAPAS Majalengka,864624850,"","",891168000,2013-12-02,LAPAS MAJALENGKA,"","",2014-01-06,APBN,2014,Pengadaan Barang,298252,891168000,"",14752,Jakarta Selatan (Kota),DKI Jakarta
69,1069,827069,LPSE Badan Pengkajian dan Penerapan Teknologi,BPPT,611069,"Penyediaan Dermaga K/R Baruna Jaya I,II,III dan IV",Pokja Tim Pelaksana ULP Satker Balai TEKSURLA 2013,1944800000,PT. RIMPA DOMAFIT JAYA,01.586.226.1-001.000,1946000000,2013-12-10,Balai Teknologi Survei Kelautan (BTSK),"","",2014-01-01,APBN,2014,"Jasa Lainnya",4069,1946000000,526069,14748,Jakarta Pusat (Kota),DKI Jakarta
299,1299,285299,LPSE Kota Cimahi,Unit Layanan Pengadaan (ULP) Kota Cimahi,184299,Pengadaan Alat-alat Laboratorium IPA SMA/SMK SWASTA,POKJA V ULP KOTA CIMAHI,678887100,"","",798600000,2013-12-06,"Dinas Pendidikan, Pemuda dan Olah Raga","","",2013-12-30,Gabungan APBN dan APBD,2013,Pengadaan Barang,14299,800000000,"",14775,Cimahi (Kota),Jawa Barat
131,70131,1213131,LPSE Provinsi Nusa Tenggara Timur,Kabupaten Rote Ndao,1156131,Pengadaan Sarana Penangkapan Ikan,Panitia Barang dan Jasa Dinas Kelautan dan Perikanan,407000000,"","",407500000,2013-12-07,Dinas Kelautan dan Perikanan Kabupaten Rote Ndao,"","",2013-12-18,APBD,2013,Pengadaan Barang,852131,407500000,"",14989,Kupang (Kota),Nusa Tenggara Timur
10,2010,1956010,LPSE Kota Surabaya,LPSE Kota Surabaya,1486010,"Pembangunan Gedung Type B (SDN MANUKAN KULON II/499, III/540)",POKJA_I_KKJ,2158023000,CV. PANCA NUSA GRAHA,02.458.210.8-604.000,2488947000,2013-12-09,Dinas Cipta Karya dan Tata Ruang,"","",2014-01-22,APBD,2014,"Pekerjaan Konstruksi",29010,2500000000,1306010,14843,Bangkalan (Kab.),Jawa Timur
35,13035,5809035,LPSE Provinsi Kalimantan Timur,Agency Dispenda Prov Kaltim,5201035,Pengadaan Jasa Petugas Kebersihan (Cleaning Service),PPBJ Dinas Pendapatan Daerah Prov.Kaltim,499803000,CV.ASA AZAHRA,03.264.719.0-722.000,539500000,2013-12-20,Dinas Pendapatan Prov Kaltim,"","",2014-01-20,APBD,2014,"Jasa Lainnya",14035,539800000,4483035,14902,Balikpapan (Kota),Kalimantan Timur
44,139044,1796044,LPSE Kepolisian Republik Indonesia,POLDA SULTRA,1699044,PENGADAAN BAHAN MAKANAN DAN EXTRAFODING PELATIHAN SPN ANGGOTOA POLDA SULTRA T.A. 2014,PANITIA PENGADAAN BARANG DAN JASA SPN ANGGOTOA POLDA SULTRA TA; 2014,471250000,"","",492000000,2013-12-13,SPN ANGGOTOA POLDA SULTRA,"","",2014-01-03,APBN,2014,"Jasa Lainnya",528044,492000000,"",14749,Jakarta Timur (Kota),DKI Jakarta
